Sales & Marketing Agent,Sales/Retail/Business Development,Marketing,Select,Telecommunications Services,Select,Select,2000,3500,Entry Level
German Training Coordinator ,Customer Service/Support,Administration,Human Resources,Translation and Localization   ,Business Services - Other,Education,1000,5000,Entry Level
Junior Software Developer ,IT/Software Development,Select,Select,Computer Software,Select,Select,2000,2500,Entry Level
Application Support Engineer,IT/Software Development,Select,Select,Telecommunications Services,Select,Select,2000,3500,Entry Level
Electrical Maintenance Engineer,Engineering,Select,Select,Food and Beverage Production,Select,Select,5000,8000,Experienced (Non-Manager)
IT Adminstrator,IT/Software Development,Select,Select,Retail,Select,Select,3000,5000,Manager
e-payments System Administrator,IT/Software Development,Select,Select,Computer Software,Select,Select,3000,5000,Experienced (Non-Manager)
PROCESS ENGINEER                      ,Engineering,Select,Select,Chemicals/Petro-Chemicals,Oil and Energy   ,Select,10000,15000,Experienced (Non-Manager)
Senior Software Engineer,IT/Software Development,Engineering,Select,Computer Software,Information Technology Services   ,Select,3500,6000,Experienced (Non-Manager)
OPERATION ENGINEER                    ,Engineering,Select,Select,Chemicals/Petro-Chemicals,Select,Select,8000,12000,Experienced (Non-Manager)
Graphic Designer,Creative/Design,Select,Select,Pharmaceuticals   ,Select,Select,50,3000,Entry Level
Service & Maintenance Engineer  ,Engineering,Select,Select,Engineering - Mechanical or Industrial   ,Select,Select,3000,4000,Experienced (Non-Manager)
Senior Software Tester,IT/Software Development,Quality Assurance/Quality Control,Select,Information Technology Services   ,Computer Software,Computer/IT Services,5000,7000,Experienced (Non-Manager)
Sr Web Application & Web Designer ,IT/Software Development,Select,Select,Internet Services,Select,Select,2000,3000,Experienced (Non-Manager)
Technical Support Engineer,Engineering,Select,Select,Engineering Services,Select,Select,2000,3200,Experienced (Non-Manager)
Out Going Tour operator,Customer Service/Support,Administration,Select,"Travel, Transportation and Tourism",Select,Select,1200,1500,Experienced (Non-Manager)
Titanium Mobile Developer,IT/Software Development,Select,Select,Computer Software,Computer Games   ,Computer/IT Services,2000,3500,Experienced (Non-Manager)
